session_id,target
1,0.0022094502937907152
2,4.810097199723623e-09
3,1.873080871607325e-08
4,2.3540589352631423e-08
5,3.131644503451005e-05
6,0.00021846491235900058
7,0.0005478558557908782
8,0.0001322673398431181
9,0.0007951298562924802
10,0.1031291225775976
11,3.0376886591771866e-05
12,8.645013561576199e-05
13,0.00043761918495836344
14,0.35765691079503176
15,5.020918162436861e-05
16,0.004009690169195422
17,0.015199814061101226
18,3.19315597821914e-05
19,0.0009338445595707084
20,2.729568177132462e-07
21,0.062307751900923636
22,5.553660577306745e-08
23,2.8664847112829707e-05
24,0.00033851235051854265
25,0.07177312341827238
26,4.59777296157495e-09
27,0.0006277490454155281
28,3.6922891855314393e-07
29,0.01457156002271957
30,0.00011079719068496032
31,0.013678010683829418
32,0.04383478269296943
33,0.0006206133467093919
34,9.341424789221677e-08
35,0.013393843536486063
36,0.000326559074110098
37,6.201423286305087e-09
38,1.3751900830446895e-08
39,0.00011079719068496032
40,2.999927177465757e-05
41,0.00044261945089424013
42,0.0012579195343251147
43,1.8715578423354259e-06
44,1.4063284726311763e-05
45,0.2437817923009002
46,8.729642961023238e-06
47,0.009261432441201721
48,0.0005916757630488068
49,2.5107627189281723e-05
50,9.503542415721392e-06
51,1.2405681925015412e-07
52,6.010525513859645e-06
53,0.03574165282125707
54,0.00010335189475537004
55,6.147664244167416e-06
56,0.0018045632796119752
57,1.1781137591373604e-06
58,1.5451721463172338e-05
59,1.5881448127585244e-05
60,6.63386435495751e-06
61,9.053794383455627e-06
62,0.0013677526863111486
63,1.5021166916729445e-05
64,3.2153705142402045e-05
65,7.0634945717260446e-06
66,1.1960730608990243e-07
67,0.00019604429162304235
68,0.00015697667230072168
69,0.09147699802836082
70,0.00014673350572585553
71,0.0002720663429824636
72,1.5881448127585244e-05
73,0.03018922658379999
74,4.810097199723623e-09
75,2.8865224126054527e-05
76,0.00035999481630758065
77,0.00017102308676061661
78,0.0015256984775481523
79,7.26331291668751e-06
80,0.00012244615658569023
81,2.3606590493883307e-05
82,3.911262527136942e-05
83,3.730078766663242e-08
84,0.24981219843511082
85,1.3635093721531396e-05
86,6.21440381565331e-07
87,0.0011986939446063938
88,0.0005868901640035621
89,0.00031462132922209
90,0.018060776388336072
91,0.00013076828379621628
92,9.617526617419251e-06
93,0.032786820728705424
94,0.0008488416318690805
95,0.03878399714119569
96,3.3869480176065696e-08
97,9.71063174047175e-05
98,6.850814458114553e-05
99,2.1822104710807793e-05
100,0.00010115928089417031
101,0.0005102271647651433
102,0.07066878770065131
103,0.0022690382946886313
104,0.0023875607439301726
105,3.7353035061212513e-06
106,0.0002782621982947314
107,0.00033269224958556613
108,1.932016532437958e-05
